#timestamp(us) rx(rad s^-1) ry(rad s^-1) rz(rad s^-1) ax(m s^-2) ay(m s^-2) az(m s^-2)
277111,-0.000572326,0.430129,0.0450633,-0.195111,-9.74638,-1.13184
277711,-0.000586879,0.425898,0.0445986,-0.171357,-9.71525,-1.10946
278322,0.000660862,0.428413,0.0442507,-0.113916,-9.68783,-1.09684
278933,-0.0011737,0.432394,0.0465461,-0.14264,-9.66483,-1.13706
279533,-0.00365255,0.432201,0.0477728,-0.200366,-9.62494,-1.1566
280144,-0.00299951,0.436911,0.0495148,-0.205481,-9.57928,-1.13747
280744,-0.000506851,0.435082,0.04991,-0.200941,-9.54302,-1.11933
281355,0.000761818,0.433622,0.0521989,-0.215473,-9.55105,-1.08709
281966,0.00391123,0.439595,0.0540609,-0.234606,-9.60192,-1.05477
282566,0.00335038,0.439559,0.0595938,-0.234343,-9.63817,-1.0729
283177,0.00519698,0.441088,0.0572889,-0.191047,-9.64703,-1.07846
283777,0.00336746,0.442512,0.0605327,-0.166995,-9.6724,-1.06219
284388,0.00650351,0.448625,0.0611807,-0.205249,-9.72661,-1.0445
285000,0.0058959,0.449077,0.0624643,-0.190709,-9.76047,-1.03865
285600,0.00838351,0.449805,0.0619109,-0.181168,-9.73033,-1.0543
286211,0.00647842,0.451391,0.0584111,-0.138004,-9.70529,-1.06566
286822,0.00719664,0.452917,0.0665648,-0.0850361,-9.68637,-1.1108
287422,0.00471394,0.459652,0.0660938,-0.094759,-9.64167,-1.12967
288033,0.00472982,0.458234,0.0677821,-0.118986,-9.61488,-1.11264
288633,0.002157,0.460899,0.0601026,-0.138069,-9.6121,-1.14081
289244,0.00156364,0.457445,0.063416,-0.128393,-9.58949,-1.17622
289855,0.00093138,0.458779,0.0623379,-0.15749,-9.52741,-1.17906
290455,0.00655889,0.458692,0.0641304,-0.200984,-9.51243,-1.13969
291066,0.00397657,0.454568,0.0569347,-0.2105,-9.54728,-1.12455
291677,0.00594876,0.460423,0.0649397,-0.176491,-9.61218,-1.14094
292277,0.00527523,0.457805,0.0609688,-0.166373,-9.72702,-1.13439
292888,0.00406461,0.458034,0.0640767,-0.17574,-9.79012,-1.1223
293488,0.0064667,0.454018,0.0568556,-0.156562,-9.77502,-1.13008
294100,0.00833006,0.450362,0.0570547,-0.147194,-9.74345,-1.11243
294711,0.00833585,0.454059,0.056846,-0.132818,-9.72836,-1.12023
295311,0.00709108,0.448382,0.058076,-0.0992452,-9.72406,-1.11492
295922,0.00517887,0.451921,0.0535612,-0.0850858,-9.67695,-1.10978
296522,0.00207742,0.449831,0.0551991,-0.0660599,-9.62843,-1.11868
297133,0.00206702,0.446809,0.0548671,-0.0516835,-9.64487,-1.09674
